Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	Variance
10	0.0009646056205489047	0.07693125620373724	0.0015795543945232994	-0.0005312028529939593	0.0	1.857749314541912e-05	0.0	0.0	0.0	-0.001656188132407186	0.0	0.02008123649933332	0.0028602014622270875	0.002652727988838081	-0.00033730180156302264	0.004304125464243441	0.0	0.0008490180587766202	0.00028267656091659994	0.031005969824657968	0.0003708658282100524
11	-0.0005170333159964464	0.042776232195133254	0.004655945947870495	0.00017883334689648638	0.0	2.6399531424247275e-05	0.0	0.0	0.0	-0.0011014396177408039	0.0	-0.0027325465552516122	0.004595891998510623	-0.003960106175878908	-0.00034583469502168695	0.006278099491073131	0.0	0.0026896397975437114	0.00011856036865311321	-0.014502055126618672	0.0002922771007340544
12	-0.0006517147593180751	0.09910217736359841	-0.006778498710096079	0.0010705160061693347	0.0	-4.4035911201649786e-05	0.0	0.0	0.0	0.0004921081406455254	0.0	-0.017914814490094015	0.0032646063343948657	0.0017546391623243086	-0.00048322679882773433	0.00927667333272515	0.0	0.00022938797518426554	-0.00040114693689818177	-0.019207838009412972	0.00024745773357610624
13	5.4300067607286406e-05	-0.09746928929595859	0.0023766547728477153	0.0007063703928733567	0.0	-3.401715907724284e-05	0.0	0.0	0.0	-0.0010170823438172098	0.0	-0.002101792027934391	0.002286530754410745	0.0016818748333529683	-0.0005666449192566564	0.016998937035326036	0.0	0.0015464683911218652	-0.0007058712781566039	-0.0241688845729963	0.00015267462354598047
14	0.00026705112047537406	0.07313262393943461	-0.0006683293656178321	-0.001144762966737759	0.0	0.00026129063031093627	0.0	0.0	0.0	-0.002206475330485742	0.0	-0.002729547564319115	-0.005985829283536295	-0.0009391921298166277	-8.159260595715553e-05	-0.001406565499240992	0.0	0.0007244733566086759	0.00013316892691776495	0.012741067807074711	7.43745297463459e-05
15	-0.0003100133463688182	0.006683196646469515	-0.0031778169119600084	-5.0601470641553465e-05	0.0	-0.0003769657096900323	0.0	0.0	0.0	-0.003442762573755565	0.0	-0.011345276908535101	-0.005236848157068916	0.0004346234063405847	-2.359355344462896e-05	0.012953063479236707	0.0	1.175834538344547e-05	-0.00012053353818198968	0.03311822190085033	6.73666246859919e-05
16	4.9673560238123874e-05	0.0007071200131937971	0.0008769695843445541	-0.0002742771781999606	0.0	-5.372448991352428e-06	0.0	0.0	0.0	-0.0004034132807476317	0.0	-0.004665951962857058	0.0017142128809916025	0.000324827388524378	3.505086492116903e-05	-0.0002926934820205011	0.0	-0.0007809739081609552	0.00013573943058295987	0.010262573916990165	3.777530292768432e-05
17	3.780122964682907e-05	-0.02315046626107909	0.0013990677010505773	-3.5944860988568744e-05	0.0	1.423548408920479e-06	0.0	0.0	0.0	0.00010089161011216917	0.0	-0.0038234922382803503	0.00025743452129249616	-9.834378460014855e-05	-0.0004364982798621818	0.0014617833448252824	0.0	0.00016864624372947716	-0.0002671988058749294	0.0038808562985463333	2.597569417245867e-05
18	-0.00015988059589675994	0.004095308926113453	0.0004343299601519072	-0.000890391108797318	0.0	-9.243987632065322e-05	0.0	0.0	0.0	-0.0003540062799416894	0.0	-0.0009775289763707066	0.0022207474019183215	0.0021186244230183174	-0.0003898739172262716	-0.0015243635737510182	0.0	-0.001163299026629821	0.00042405374052147777	0.0025496191854743697	2.4557464273716706e-05
19	-4.619834785545493e-18	-5.205429665211805e-16	-8.47420590264889e-17	8.05727972709732e-18	0.0	-5.895739616958395e-19	0.0	0.0	0.0	-1.1722433999732563e-17	0.0	-1.6887123489687428e-16	-8.844683943201049e-17	-4.5309876718595495e-17	3.3249538660717355e-18	2.6743771624188975e-18	0.0	2.3692651295701384e-17	-1.2601961037215248e-17	-1.6938488495452127e-17	1.0918649094486215e-31
